gene_tumor	median_rolling_binning_depth_ratio	copy_num	copy_num_rounded
BRCA1	-0.6241195659027534	1.2976312190006463	1.0
BRCA2	-0.37288599474752177	1.5444723092998953	2.0
CDKN2A	-0.2617746706597997	1.6681226053639848	2.0
CHEK1	-0.39806752778928756	1.5177482105311966	2.0
CHEK2	-0.4028964952600746	1.5126765188834155	2.0
EGFR	0.5984966342242446	3.0282758620689654	3.0
ERBB2	0.5657278894272242	2.9602681992337163	3.0
FGFR1	-0.5186060317733798	1.3960919540229886	1.0
FGFR2	-0.40750988514022546	1.5078470709776306	2.0
FGFR3	-0.45593174473520337	1.4580783602489407	1.0
MDM2	-0.34240963571091715	1.5774457215836524	2.0
MET	-0.34240963571091715	1.5774457215836524	2.0
MTAP	-0.5186060317733798	1.3960919540229886	1.0
NF1	-0.5186060317733798	1.3960919540229886	1.0
NTRK1	-0.3844826802416904	1.5321072796934867	2.0
PALB2	-0.2617746706597997	1.6681226053639848	2.0
RB1	-0.3702643144516271	1.5472814919615936	2.0
STK11	-0.47471300949013084	1.4392198507383258	1.0
TP53	-0.42781964479487294	1.4867688378033206	1.0
TSC1	-0.5186060317733798	1.3960919540229886	1.0
TSC2	-0.04382938163123086	1.9401532567049808	2.0
