gene_tumor	median_rolling_binning_depth_ratio	copy_num	copy_num_corrected
BRCA1	-0.6356744510518351	1.2872796934865902	0.75
BRCA2	-0.33268589466690024	1.5881135902636918	1.0
CDKN2A	-0.5186060317733798	1.3960919540229886	1.0
CHEK1	-0.35925571402016876	1.55913330832342	1.0
CHEK2	-0.3946090994729153	1.5213909207012655	1.0
EGFR	0.9427463748904834	3.8443678160919545	2.5
ERBB2	0.5984966342242446	3.0282758620689654	2.0
FGFR1	-0.5297601595906121	1.385339754365242	1.0
FGFR2	-0.3844826802416904	1.5321072796934867	1.0
FGFR3	-0.04382938163123086	1.9401532567049808	1.25
MDM2	-0.34240963571091715	1.5774457215836524	1.0
MET	-0.34240963571091715	1.5774457215836524	1.0
MTAP	-0.5186060317733798	1.3960919540229886	1.0
NF1	-0.5186060317733798	1.3960919540229886	1.0
NTRK1	-0.4338438659242134	1.4805735227624284	1.0
PALB2	-0.23323844567082597	1.7014462242382347	1.0
RB1	-0.29397882677761933	1.6312989277054242	1.0
STK11	-0.5186060317733798	1.3960919540229886	1.0
TP53	-0.4798817082692529	1.434072827960006	1.0
TSC1	-0.45644830777609846	1.4575563825994278	1.0
TSC2	-0.15320343410920767	1.7985029999032087	1.25
